Men's T20I Batting Rankings	83	Kamran Khan	QAT	398	463 v Bahrain, 25/02/2020	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	84	Afif Hossain	BAN	398	404 v Afghanistan, 03/03/2022	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	85	Usman Ghani	AFG	397	426 v Oman, 29/11/2015	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	86	Shakib Al Hasan	BAN	397	618 v Pakistan, 24/04/2015	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	87	Shikhar Dhawan	IND	396	685 v New Zealand, 06/02/2019	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	88	Craig Ervine	ZIM	396	396 v Scotland, 19/09/2021	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	89	Tom Latham	NZ	395	484 v Bangladesh, 10/09/2021	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	90	Wesley Madhevere	ZIM	393	418 v Bangladesh, 25/07/2021	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	91	Sese Bau	PNG	393	393 v Nepal, 04/04/2022	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	92	Shimron Hetmyer	WI	385	481 v Australia, 06/11/2021	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	93	Daryl Mitchell	NZ	384	392 v India, 19/11/2021	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	94	Rakep Patel	KEN	383	402 v Namibia, 25/10/2019	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	95	Sean Williams	ZIM	383	481 v Ireland, 14/07/2019	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	96	Ryan Burl	ZIM	382	407 v Ireland, 01/09/2021	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
